"INCHIKEY","ClassyFy_Status","Kingdom","Superclass","Class","Subclass","Parent_Level_1","Parent_Level_2","Parent_Level_3","Parent_Level_4","Parent_Level_5","Parent_Level_6"
"QEGVVEOAVNHRAA-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acids","2-pyrimidinylthiobenzoic acids",NA,NA,NA,NA
"QEGXBXBKQLQOHP-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids",NA,"Saccharolipids",NA,NA,NA,NA,NA
"QELDJEKNFOQJOY-UHFFFAOYNA-N","Completed","Organic compounds","Alkaloids and derivatives","Aporphines",NA,"Aporphines",NA,NA,NA,NA,NA
"QELSKZZBTMNZEB-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters","p-Hydroxybenzoic acid esters","p-Hydroxybenzoic acid alkyl esters",NA,NA,NA
"QERAXRDNYJPTRN-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Iridoids and derivatives",NA,NA,NA,NA,NA
"QERHBVOJJKVACB-IIBLGLITSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal saponins",NA,NA,NA,NA,NA
"QETQPQDBDULWLC-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides",NA,NA,NA,NA,NA
"QEVHRUUCFGRFIF-UHFFFAOYNA-N","Completed","Organic compounds","Alkaloids and derivatives","Yohimbine alkaloids",NA,"Yohimbine alkaloids",NA,NA,NA,NA,NA
"QFAPJWSQKUFHAP-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Perylenequinones",NA,"Perylenequinones",NA,NA,NA,NA,NA
"QFAPONVNJTUMHF-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Stilbenes",NA,"Stilbenes",NA,NA,NA,NA,NA
"QFOFNCNFUGQWTO-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",NA,NA,NA,NA,NA
