"InChIKey","ClassyFy_Status","Kingdom","Superclass","Class","Subclass","Parent_Level_1","Parent_Level_2","Parent_Level_3","Parent_Level_4","Parent_Level_5","Parent_Level_6"
"QDYWROGINJISOM-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",NA,NA,NA,NA,NA
"YCARPVQNSMHVBW-UHFFFAOYSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFMXGFHWLZPCFL-SVRPQWSVSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"DROMNWUQASBTFM-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters",NA,NA,NA,NA,NA
"NGSWKAQJJWESNS-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",NA,NA,NA,NA,NA
"QZONBCFTKCIUKE-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Tannins",NA,"Tannins",NA,NA,NA,NA,NA
"CLDCTFPNFRITPI-UHFFFAOYNA-N","Completed","Organic compounds","Lignans, neolignans and related compounds",NA,NA,"Lignans, neolignans and related compounds",NA,NA,NA,NA,NA
"RXTPBERNZNYWSC-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Isoflavonoids","Pyranoisoflavonoids","Pyranoisoflavonoids",NA,NA,NA,NA,NA
"ZOOGRGPOEVQQDX-UHFFFAOYNA-N","Completed","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleotides","Cyclic purine nucleotides","3',5'-cyclic purine nucleotides",NA,NA,NA,NA,NA
"NVXMWPFVIMTPPT-QFBILLFUSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolizines",NA,"Quinolizines",NA,NA,NA,NA,NA
"PKXAQFKGSXYQJX-YMAMQOFZSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Lactones","Gamma butyrolactones","Gamma butyrolactones",NA,NA,NA,NA,NA
